Time [s];20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;;20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;D5;E1;E2;E3
Time [s];20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;;20;20;20;50;50;50;100;100;100;300;300;300;600;600;600;;;;
900.218;0.6741;0.693;0.6913;0.6983;0.664;0.6882;0.6901;0.6698;0.6873;0.6568;0.6676;0.6681;0.6527;0.6703;0.6575;;0.7728;0.7695;0.7441;0.7225;0.6945;0.6879;0.6906;0.6584;0.7341;0.7268;0.7275;0.7044;0.7139;0.7152;0.7396;;0.2001;0.202;0.1996
960.236;0.6722;0.6911;0.6892;0.6957;0.6615;0.6853;0.6864;0.6686;0.6839;0.6515;0.662;0.6616;0.6465;0.6647;0.6539;;0.7707;0.7681;0.7423;0.7203;0.6928;0.6862;0.6891;0.6568;0.7322;0.7248;0.7252;0.7029;0.7121;0.7138;0.7383;;0.2002;0.2023;0.1997
1020.246;0.6703;0.6888;0.6873;0.693;0.6593;0.6827;0.6828;0.6632;0.68;0.647;0.6568;0.6567;0.64;0.6587;0.6506;;0.7699;0.7674;0.7411;0.7192;0.6908;0.6842;0.6875;0.6547;0.7301;0.7231;0.723;0.701;0.7087;0.7118;0.7366;;0.2003;0.2021;0.2
1080.264;0.6686;0.6872;0.685;0.6901;0.6561;0.6796;0.6789;0.6594;0.6765;0.642;0.6512;0.6507;0.6335;0.6531;0.6489;;0.7677;0.7649;0.7386;0.7171;0.6891;0.6829;0.6865;0.653;0.7275;0.7208;0.7208;0.6984;0.707;0.7101;0.7342;;0.2003;0.2027;0.1998
1140.274;0.6669;0.6849;0.6835;0.6872;0.6533;0.6769;0.6752;0.6565;0.6728;0.6364;0.6462;0.6455;0.6268;0.6459;0.6394;;0.7658;0.7636;0.7373;0.7151;0.6869;0.6801;0.6846;0.6509;0.7246;0.7182;0.7185;0.6961;0.7054;0.7075;0.7319;;0.2003;0.2028;0.1998
1200.293;0.6656;0.6831;0.6817;0.6842;0.651;0.6746;0.6717;0.6526;0.6694;0.6309;0.6407;0.6397;0.6203;0.6396;0.631;;0.7641;0.7626;0.7358;0.7137;0.6858;0.6788;0.6833;0.6494;0.7223;0.7157;0.7161;0.6937;0.7031;0.7056;0.7302;;0.2001;0.2029;0.2
1260.304;0.6634;0.681;0.6802;0.6821;0.6496;0.6717;0.6682;0.6492;0.6658;0.6255;0.6355;0.6347;0.6136;0.6336;0.6228;;0.7626;0.7616;0.735;0.7134;0.6841;0.677;0.6825;0.6471;0.7211;0.7149;0.7148;0.6918;0.7009;0.7037;0.7288;;0.2004;0.2031;0.1999
1320.317;0.662;0.6794;0.6783;0.6795;0.6468;0.6691;0.6646;0.6466;0.6623;0.6198;0.6304;0.6285;0.607;0.6281;0.6157;;0.7611;0.7597;0.7328;0.7105;0.682;0.6746;0.6799;0.6445;0.7186;0.7122;0.7125;0.6897;0.6994;0.7021;0.7278;;0.2011;0.2033;0.1998
1380.336;0.6599;0.677;0.6763;0.6773;0.6441;0.6667;0.6609;0.6431;0.6586;0.6145;0.6249;0.6231;0.6;0.6219;0.6088;;0.7594;0.7583;0.7313;0.7087;0.68;0.6725;0.6781;0.6424;0.716;0.7099;0.71;0.6873;0.698;0.7002;0.7252;;0.2004;0.2031;0.1998
1440.344;0.6583;0.6749;0.6745;0.6746;0.6424;0.6638;0.6577;0.64;0.6556;0.6091;0.6192;0.6178;0.5937;0.6161;0.6024;;0.7578;0.7567;0.7297;0.7071;0.6785;0.6712;0.6775;0.6405;0.7133;0.7075;0.708;0.6851;0.6956;0.6979;0.7231;;0.2009;0.2036;0.1999
1500.371;0.6568;0.6733;0.6725;0.672;0.64;0.6611;0.654;0.6367;0.6522;0.6042;0.6146;0.6128;0.5872;0.6095;0.5962;;0.7563;0.7554;0.7285;0.7052;0.6768;0.669;0.6757;0.6383;0.711;0.7053;0.7055;0.6827;0.6941;0.6955;0.721;;0.2005;0.2038;0.2003
1560.378;0.6551;0.6712;0.6706;0.6695;0.6381;0.6589;0.6506;0.6333;0.6487;0.5988;0.6093;0.6075;0.581;0.604;0.5906;;0.7548;0.7536;0.727;0.7036;0.6751;0.6673;0.6742;0.6361;0.7098;0.7041;0.7046;0.6809;0.6925;0.6934;0.7193;;0.2005;0.2037;0.2
1620.395;0.6533;0.6692;0.6681;0.6673;0.6359;0.6564;0.6472;0.6301;0.6454;0.5933;0.6043;0.6019;0.5743;0.5977;0.5842;;0.7532;0.7522;0.7256;0.7023;0.6732;0.6663;0.6731;0.6345;0.7073;0.7017;0.7026;0.6785;0.6907;0.6922;0.7173;;0.2012;0.2038;0.2003
1680.414;0.6517;0.667;0.6658;0.6643;0.6333;0.654;0.6434;0.6263;0.6422;0.5883;0.5987;0.5966;0.5678;0.5916;0.5782;;0.7515;0.7506;0.7243;0.7009;0.6715;0.6646;0.6714;0.6329;0.7056;0.7005;0.7003;0.677;0.6891;0.6911;0.7156;;0.2013;0.2038;0.2005
1740.429;0.6501;0.6654;0.6639;0.6621;0.6306;0.6514;0.64;0.623;0.6389;0.5827;0.5939;0.5914;0.5614;0.5851;0.5712;;0.7497;0.7487;0.7227;0.6991;0.6694;0.6628;0.6695;0.6303;0.7037;0.6989;0.698;0.6751;0.6874;0.6889;0.7141;;0.2015;0.204;0.2009
